id;word_id;tag_id
1;1;2
2;2;2
3;3;2
4;4;2
5;5;2
6;6;2
7;7;2
8;8;2
9;9;2
10;10;2
11;11;2
12;12;2
13;13;2
14;14;2
15;15;2
16;16;2
17;17;2
18;18;2
19;19;2
20;20;2
21;21;2
22;22;2
23;23;2
24;24;2
25;25;2
26;26;2
27;27;2
28;28;2
29;29;2
30;30;2
31;31;2
32;32;2
33;33;2
34;34;2
35;35;2
36;36;2
37;37;1
38;38;1
39;39;1
40;40;1
41;41;1
42;42;1
43;43;1
44;44;1
45;45;1
46;46;1
47;47;1
48;48;1
49;49;1
50;50;1
51;51;1
52;52;1
53;53;1
54;54;1
55;55;1
56;56;1
57;57;1
58;58;1
59;59;1
60;60;1
61;61;1
62;62;1
63;63;1
64;64;1
65;65;1
66;66;1
67;67;1
68;68;1
69;69;1
70;70;1
71;71;1
72;72;1
73;73;1
74;74;1
75;75;1
76;76;1
77;77;1
78;78;1
79;79;1
80;80;1
81;81;1
82;82;1
83;83;1
84;84;1
85;85;1
86;86;1
87;87;1
88;88;1
89;89;1
90;90;1
91;91;1
92;92;1
93;93;1
94;94;1
95;95;2
96;96;2
97;97;2
98;98;2
99;99;2
100;100;2
101;101;2
102;102;2
103;103;2
104;104;2
105;105;2
106;106;2
107;107;2
108;108;2
109;109;2
110;110;2
111;111;2
112;112;2
113;113;2
114;114;2
115;115;2
116;116;2
117;117;2
118;118;2
119;119;2
120;120;2
121;121;2
122;122;2
123;123;2
124;124;2
125;125;2
126;126;2
127;127;2
128;128;2
129;129;2
130;130;2
131;131;2
132;132;2
133;133;2
134;134;2
135;135;2
136;136;2
137;137;2
138;138;2
139;139;2
140;140;2
141;141;2
142;142;2
143;143;2
144;144;2
145;145;2
146;146;2
147;147;2
148;148;2
149;149;2
150;150;2
151;151;2
152;152;2
153;153;2
154;154;2
155;155;2
156;156;2
157;157;2
158;158;2
159;159;2
160;160;1
161;1;5
162;2;5
163;3;5
164;4;5
165;5;5
166;6;5
167;7;5
168;8;5
169;9;5
170;10;5
171;11;5
172;12;5
173;13;5
174;14;5
175;15;5
176;16;5
177;17;5
178;18;5
179;19;5
180;20;5
181;21;5
182;22;5
183;23;5
184;24;5
185;25;5
186;26;5
187;27;5
188;28;5
189;29;5
190;30;5
191;31;5
192;32;5
193;33;5
194;34;5
195;35;5
196;36;5
197;37;4
198;38;4
199;39;4
200;40;4
201;41;4
202;42;4
203;43;4
204;44;4
205;45;4
206;46;4
207;47;4
208;48;4
209;49;4
210;50;4
211;51;4
212;52;4
213;53;4
214;54;4
215;55;4
216;56;3
217;57;3
218;58;3
219;59;3
220;60;3
221;61;3
222;62;3
223;63;3
224;64;3
225;65;3
226;66;3
227;67;3
228;68;3
229;69;3
230;70;3
231;71;3
232;72;3
233;73;3
234;74;3
235;75;3
236;76;3
237;77;3
238;78;3
239;79;3
240;80;3
241;81;3
242;82;3
243;83;3
244;84;3
245;85;3
246;86;3
247;87;3
248;88;3
249;89;3
250;90;3
251;91;3
252;92;3
253;93;3
254;94;3
255;95;3
256;96;3
257;97;3
258;98;3
259;99;3
260;100;3
261;101;3
262;102;3
263;103;3
264;104;3
265;105;3
266;106;3
267;107;3
268;108;3
269;109;3
270;110;3
271;111;3
272;112;3
273;113;3
274;114;3
275;115;3
276;116;3
277;117;3
278;118;3
279;119;3
280;120;3
281;121;3
282;122;3
283;123;3
284;124;3
285;125;3
286;126;3
287;127;3
288;128;3
289;129;3
290;130;3
291;131;3
292;132;3
293;133;3
294;134;3
295;135;3
296;136;3
297;137;3
298;138;3
299;139;3
300;140;3
301;141;3
302;142;3
303;143;3
304;144;3
305;145;3
306;146;3
307;147;3
308;148;3
309;149;3
310;150;3
311;151;3
312;152;3
313;153;3
314;154;3
315;155;3
316;156;3
317;157;3
318;158;3
319;159;3
320;160;3
321;37;6
322;38;6
323;109;7
324;110;7
325;111;7
326;112;7
327;113;7
328;114;7
329;115;7
330;116;7
331;117;7
332;118;7
333;119;7
334;120;7
335;121;7
336;122;7
337;123;7
338;124;7
339;125;7
340;126;7
341;127;7
342;128;7
343;129;7
344;130;7
345;131;7
346;132;7
347;133;7
348;134;7
349;135;7
350;136;7
351;137;7
352;138;7
353;139;7
354;140;7
355;141;7
356;142;7
357;143;7
358;144;7
359;145;7
360;146;7
361;147;7
362;148;7
363;149;7
364;150;7
365;151;7
366;152;7
367;153;7
368;154;7
369;155;7
370;156;7
371;157;7
372;158;7
373;159;7
